id;nama_makanan;kalori;protein;jenis
1;Nasi;180.0;3.0;pokok
2;Nasi Tim;120.0;2.4;pokok
3;Nasi Merah;149.0;2.8;pokok
4;Bihun Goreng Instan;381.0;6.1;pokok
5;Ketupat Ketan;212.0;4.0;pokok
6;Ketan Hitam;181.0;4.0;pokok
7;Tapai Ketan Hitam;166.0;3.8;pokok
8;Ketan Putih;163.0;3.0;pokok
9;Tapai Ketan Putih;172.0;3.0;pokok
10;Jagung Kuning Tepung;355.0;9.2;pokok
11;Jagung Tepung Putih;355.0;9.2;pokok
12;Mi Basah;88.0;0.6;pokok
13;Mi Kering;339.0;10.0;pokok
14;Misoa;345.0;8.5;pokok
15;Roti Putih;248.0;8.0;pokok
16;Amparan Tatak;191.0;1.3;pokok
17;Bika Ambon;199.0;2.1;pokok
18;Brem;249.0;3.4;pokok
19;Keruput;320.0;4.8;pokok
20;Koya;366.0;4.2;pokok
21;Koya Mirasa;370.0;8.0;pokok
22;Koyabu;241.0;3.4;pokok
23;Manan Samin;379.0;3.4;pokok
24;Masekat;369.0;2.1;pokok
25;Mie Aceh Rebus;113.0;3.0;pokok
26;Mie Ayam;102.0;6.2;pokok
27;Mie Bakso;114.0;5.3;pokok
28;Mie Celon;102.0;3.0;pokok
29;Mie Pangsit Basah;105.0;5.9;pokok
30;Nasi Gemuk;192.0;3.8;pokok
31;Nasi Gurih;190.0;4.7;pokok
32;Nasi Minyak;207.0;3.5;pokok
33;Nasi Rames;155.0;10.3;pokok
34;Nopia Spesial;387.0;5.3;pokok
35;Renggi Goreng;471.0;4.7;pokok
36;Srikaya Ketan;265.0;2.7;pokok
37;Suwir-suwir;347.0;0.5;pokok
38;Mie Sagu;190.0;0.2;pokok
39;Sagu Manis;287.0;0.5;pokok
40;Mie Bendo;353.0;0.3;pokok
41;Kentang Tepung Kering;347.0;0.3;pokok
42;Tales Beneng Tepung;332.0;5.7;pokok
43;Ubi Ungu Tepung;354.0;2.8;pokok
44;Tiwul;353.0;2.4;pokok
45;Tiwul Instan;395.0;3.2;pokok
46;Ubi Cilembu;186.0;1.9;pokok
47;Uli Batatas;150.0;1.1;pokok
48;Oyek;351.0;0.9;pokok
49;Beras Ubi;394.0;2.2;pokok
50;Beras Singkong;350.0;0.9;pokok
51;Sagu Forno;291.0;0.5;pokok
52;Kue Sagon;452.0;2.8;pokok
53;Sagu Rendang;364.0;0.1;pokok
54;Sagu Sinole;354.0;0.8;pokok
55;Ongol-ongol sagu;111.0;0.3;pokok
56;Ayam Ampela Goreng;270.0;22.3;lauk
57;Ayam Usus Goreng;473.0;24.2;lauk
58;Sapi Abon;212.0;18.0;lauk
59;Sapi Abon Asli;358.0;14.6;lauk
60;Sapi Daging Asap;182.0;24.0;lauk
61;Sapi Daging Dendeng;301.0;24.0;lauk
62;Sapi Daging Kornet;289.0;16.0;lauk
63;Sapi Daging Sosis (Worst);448.0;14.5;lauk
64;Sapi Hati Sosis (Liverworst);274.0;16.0;lauk
65;Sapi Paru Goreng;268.0;23.9;lauk
66;Ulat Sagu Panggang;280.0;11.9;lauk
67;Ayam Dada Goreng Church Texas;338.0;23.2;lauk
68;Ayam Paha Goreng Church Texas;287.0;22.0;lauk
69;Ayam Sayap Goreng Church Texas;295.0;21.0;lauk
70;Ayam Paha Goreng Kalasan;275.0;22.4;lauk
71;Ayam Dada Goreng Kentucky;298.0;21.2;lauk
72;Ayam Paha Goreng Kentucky;286.0;22.1;lauk
73;Ayam Sayap Goreng Kentucky;297.0;21.9;lauk
74;Ayam Dada Goreng Mbok Berek;295.0;22.2;lauk
75;Ayam Dada Goreng Pasundan;246.0;22.9;lauk
76;Ayam Paha Goreng Pasundan;245.0;21.1;lauk
77;Ayam Dada Goreng Pioneer;295.0;22.4;lauk
78;Ayam Dada Goreng Sukabumi;244.0;21.7;lauk
79;Ayam Paha Goreng Sukabumi;283.0;21.7;lauk
80;Ayam Taliwang;264.0;18.2;lauk
81;Beef Burger;258.0;10.6;lauk
82;Buff Teriyaki;151.0;8.6;lauk
83;Beef Yakiniku;132.0;9.8;lauk
84;Bulgogi, masakan;72.0;11.4;lauk
85;Chicken Teriyaki;168.0;13.0;lauk
86;Chikiniku;143.0;9.8;lauk
87;Coto Mangkasara Sapi;84.0;6.0;lauk
88;Empal Daging Goreng;248.0;24.2;lauk
89;Gulai Kambing;126.0;4.2;lauk
90;Kalio Ayam;203.0;16.0;lauk
91;Kalio Jeroan;163.0;16.5;lauk
92;Kalio Kikil (tunjang);75.3;13.8;lauk
93;Kalio Otak;157.0;8.1;lauk
94;Naan Maran Sapi;478.0;23.3;lauk
95;Rawon;60.0;5.4;lauk
96;Rendang Sapi;193.0;22.6;lauk
97;Sop Buntut;71.0;7.5;lauk
98;Sop Daging Sapi;49.0;5.8;lauk
99;Sop Kaki Sapi;68.0;9.8;lauk
100;Sop Kambing;34.0;5.5;lauk
101;Sop Konro;71.0;7.4;lauk
102;Soto Bandung;42.0;3.9;lauk
103;Soto Banjar;110.0;2.9;lauk
104;Soto Betawi;135.0;2.5;lauk
105;Soto Jeroan;92.0;11.8;lauk
106;Soto Kudus;38.0;2.6;lauk
107;Soto Madura;60.0;3.5;lauk
108;Soto Padang;127.0;5.9;lauk
109;Soto Pekalongan;94.0;3.0;lauk
110;Soto Pemalang;75.0;3.6;lauk
111;Soto Sukaraja;80.0;3.2;lauk
112;Soto Sulung;86.0;2.3;lauk
113;Sukiyaki;75.0;5.6;lauk
114;Belut Goreng;357.0;21.9;lauk
115;Cumi-cumi Goreng;265.0;22.6;lauk
116;Ikan Asin Kering;193.0;22.0;lauk
117;Ikan Bandeng Presto ;296.0;17.1;lauk
118;Ikan Baung Bakar;144.0;17.8;lauk
119;Ikan Belida Bakar;128.0;18.0;lauk
120;Ikan Cakalang Asap;204.0;22.2;lauk
121;Ikan Cakalang Asin;198.0;23.5;lauk
122;Ikan Calo/ Peda;81.0;11.4;lauk
123;Ikan Gabus Asap;261.0;24.1;lauk
124;Ikan Gabus Kering;268.0;22.0;lauk
125;Ikan Gete Goreng;267.0;23.1;lauk
126;Ikan Mas Pepes;209.0;15.2;lauk
127;Ikan Mujahir Goreng;416.0;21.9;lauk
128;Ikan Mujahir Pepes;121.0;21.7;lauk
129;Ikan Patih Bakar;144.0;17.5;lauk
130;Sardines Kaleng;338.0;21.1;lauk
131;Abon Ikan;435.0;16.2;lauk
132;Cakalang Asar Asap;155.0;20.1;lauk
133;Dendeng Belut Goreng;382.0;20.7;lauk
134;Dendeng Mujahir Goreng;358.0;22.3;lauk
135;Fillet o-fish;270.0;12.3;lauk
136;Gete Kuah Asam;75.0;8.2;lauk
137;Gulai Asam Keueung;52.0;10.0;lauk
138;Gulai Ikan;106.0;16.5;lauk
139;Gulai Ikan Paya;148.0;10.0;lauk
140;Gulai Keumamah;110.0;5.9;lauk
141;Gulai Tiram;132.0;9.0;lauk
142;Gurame Asam Manis;192.0;12.7;lauk
143;Ikan Asar Merah;146.0;17.7;lauk
144;Jambal Goreng;286.0;22.5;lauk
145;Jukku Pallu Kaloa;15.0;15.2;lauk
146;Kaholeo;413.0;23.7;lauk
147;Muhajir Acar Kuning;330.0;17.8;lauk
148;Parede Baleh;87.0;10.5;lauk
149;Pempek Adaan;62.6;4.9;lauk
150;Pempek belida;156.0;4.2;lauk
151;Pempek Kapal Selam;152.0;4.5;lauk
152;Pempek Kelesan;211.0;12.3;lauk
153;Pempek Kulit;243.0;5.2;lauk
154;Pempek Telur;156.0;4.7;lauk
155;Pempek Tenggiri;173.0;7.2;lauk
156;Pencok Lele;372.0;7.8;lauk
157;Pinda;107.0;15.9;lauk
158;Pindang Kenari;124.0;9.5;lauk
159;Sate Bandeng;283.0;12.1;lauk
160;Sepi;88.0;7.9;lauk
161;Tekwan;53.0;1.9;lauk
162;Teri Belado;365.0;23.7;lauk
163;Tumis Bandeng;189.0;11.3;lauk
164;Tumis Keumamah;300.0;14.5;lauk
165;Telur Ayam Dadar;251.0;16.3;lauk
